x,y
45,8
133,63
24,44
43,75
46,88
20,102
16,132
39,120
7,86
13,83
5,180
20,190
44,198
12,232
57,226
54,185
26,205
84,232
76,254
148,252
143,234
162,242
159,228
125,224
104,219
103,196
98,183
110,177
147,193
171,195
132,172
143,179
211,230
251,242
238,226
230,157
178,174
213,108
199,115
173,54
231,53
246,27
98,145
80,161
72,152
133,149
155,140
164,161
171,168
201,183
193,174
187,169
253,206
252,185
247,195
240,186
233,180
207,191
224,173
217,166
207,160
201,152
193,146
188,138
182,131
173,124
165,118
171,33
167,6
182,21
145,23
201,27
185,34
208,22
213,17
