x,y
244,249
233,224
232,205
223,190
199,191
195,173
185,161
217,206
111,254
79,241
56,244
62,225
19,235
3,246
36,226
31,211
9,190
92,217
111,209
124,201
233,153
254,154
238,134
31,165
79,183
106,165
85,155
77,138
58,134
45,136
13,117
6,111
20,130
23,133
25,137
134,187
149,184
150,171
129,147
117,133
86,114
68,121
57,116
41,117
45,104
25,89
33,99
7,68
8,43
6,23
34,28
35,55
54,80
67,62
89,88
75,104
129,132
152,139
153,114
173,108
133,113
125,94
114,85
112,66
135,66
139,59
95,54
185,94
181,84
170,73
185,68
154,49
166,30
154,8
137,20
78,36
70,26
58,11
25,7
219,49
222,74
240,53
233,15
234,5
221,26
250,34
240,71
201,140
206,128
213,117
222,114
217,98
233,98
236,102
220,86
233,86
254,90
