x,y
140,74
83,198
140,9
106,236
139,230
139,111
138,214
113,54
139,54
111,117
138,244
107,158
16,173
63,198
138,133
113,17
107,249
52,167
205,71
211,28
185,231
67,207
53,252
194,87
55,141
79,123
110,69
30,25
50,15
204,139
206,129
223,122
222,112
228,104
39,30
29,64
41,66
13,89
31,100
32,79
40,79
39,135
36,143
93,146
30,202
96,236
97,251
70,228
199,245
198,251
168,204
192,226
183,226
175,226
168,225
226,227
244,202
133,99
147,100
139,89
210,101
211,95
246,86
234,85
240,53
241,18
232,22
218,10
197,8
206,7
206,11
19,227
11,227
4,228
