x,y
108,214
190,133
229,137
246,78
170,151
208,117
119,234
148,209
131,190
138,217
200,163
165,197
179,180
151,36
203,54
29,202
23,156
219,70
15,188
245,132
170,20
37,171
51,187
124,6
183,32
42,216
139,21
64,199
167,50
113,166
74,162
81,170
65,148
74,142
27,107
101,67
104,51
121,54
131,65
86,53
182,64
10,137
17,145
59,229
4,173
115,193
146,217
194,173
203,180
209,162
215,193
232,190
238,131
211,105
195,186
60,241
11,237
4,239
5,253
12,230
16,199
12,102
36,131
37,118
42,120
66,103
136,113
126,18
186,78
183,82
172,117
161,128
179,139
108,175
104,165
114,94
79,32
116,50
138,36
133,38
