x,y
11,160
116,87
141,74
227,16
198,254
53,132
162,57
213,217
222,238
245,223
74,116
183,43
34,145
234,205
208,27
23,206
29,216
35,224
5,177
11,187
189,10
167,22
189,234
171,248
102,103
148,38
124,53
103,71
63,97
39,111
20,122
249,3
201,58
114,65
160,147
79,217
98,208
117,196
129,204
137,248
188,215
213,150
204,133
219,134
8,137
90,83
10,228
6,223
4,217
7,125
203,179
144,109
180,64
252,188
242,173
251,131
215,124
120,207
102,203
83,213
69,221
77,229
84,236
92,235
97,239
61,252
7,60
42,40
47,46
52,55
33,70
19,83
19,79
11,86
2,78
14,74
78,55
68,40
71,42
182,162
155,186
131,187
147,178
80,182
