x,y
248,201
235,190
248,181
195,153
234,204
247,228
235,239
187,146
110,138
116,80
120,93
118,104
139,124
151,103
158,91
141,89
136,138
147,138
205,188
189,189
143,188
153,187
101,223
176,223
192,224
212,220
243,90
243,153
189,125
115,121
44,7
48,22
90,26
92,75
82,75
81,85
87,82
41,72
48,47
52,66
54,150
28,150
42,119
39,87
46,92
43,103
80,46
145,43
158,41
185,37
183,69
182,76
12,228
20,37
207,46
197,47
247,25
175,5
183,9
206,6
237,8
250,7
105,129
98,132
56,135
65,137
167,43
192,50
248,58
25,20
70,43
86,44
85,62
236,223
133,96
