x,y
46,239
7,227
22,202
56,217
61,206
72,235
90,237
103,250
23,182
44,187
14,161
63,50
90,68
96,50
105,65
102,72
6,32
16,35
12,46
24,49
34,61
37,78
56,72
53,90
63,103
79,98
82,118
93,109
97,127
111,147
124,103
137,168
136,153
152,172
161,183
182,194
183,217
198,217
204,237
215,231
222,236
255,207
222,170
186,151
196,141
204,135
210,130
171,152
167,149
164,145
162,142
158,139
251,113
246,104
241,153
178,73
178,92
146,78
137,87
147,95
129,45
127,40
116,33
150,26
146,19
140,15
132,11
128,5
180,28
163,11
182,47
194,61
63,14
22,9
34,21
50,35
86,29
211,23
209,11
240,10
249,17
254,25
255,31
213,51
245,92
239,64
246,80
233,32
197,161
180,160
234,180
245,167
251,154
