x,y
211,231
214,209
240,189
204,192
133,242
114,216
90,233
136,196
92,185
103,151
173,145
180,161
199,130
184,111
160,131
173,82
152,98
134,109
119,117
134,84
122,92
108,99
75,136
169,196
23,151
36,142
48,132
58,122
33,106
60,146
44,159
27,170
24,176
11,183
74,86
95,75
85,77
102,77
122,53
136,60
68,69
73,65
75,55
64,52
57,58
46,40
52,37
48,29
48,32
39,33
61,12
6,24
8,19
14,21
13,17
10,13
19,46
3,54
101,37
116,25
114,20
142,39
180,6
184,11
192,9
192,3
199,13
210,3
184,3
174,4
227,46
242,33
41,219
8,233
20,247
