x,y
102,74
213,185
126,155
240,183
151,150
17,228
187,25
96,121
113,107
190,185
124,123
174,4
171,157
8,216
208,164
88,105
15,43
227,164
41,252
127,15
106,88
146,169
73,26
97,58
138,138
245,159
192,161
153,10
113,217
125,218
153,42
105,50
119,82
160,73
181,98
198,100
190,130
236,106
247,116
217,76
220,90
251,70
198,197
136,204
140,198
221,19
83,78
16,165
30,157
32,160
38,162
46,173
46,173
46,182
68,186
57,205
62,180
54,183
54,170
61,165
69,159
77,177
113,160
55,21
10,76
9,119
27,131
50,137
63,127
78,123
118,51
21,253
81,188
89,190
92,193
95,195
117,202
118,196
121,192
123,189
135,174
171,190
175,203
181,194
177,237
186,239
189,232
208,200
120,119
125,118
164,87
222,101
217,104
201,115
