x,y
99,34
251,38
19,178
47,54
36,53
107,231
34,140
128,77
200,196
184,197
245,12
66,78
108,8
239,80
73,42
175,76
27,54
43,214
56,46
237,12
94,65
68,84
20,56
55,244
124,209
199,234
231,13
177,65
243,82
71,40
164,78
72,173
121,19
64,2
166,247
139,38
49,254
202,251
131,32
221,211
117,225
143,50
115,45
150,28
74,22
50,229
114,16
117,8
200,217
227,199
157,41
68,48
63,83
82,7
62,247
122,116
135,85
133,102
92,7
195,81
216,99
136,113
246,78
108,42
242,14
250,9
202,94
110,22
133,229
126,73
128,108
75,30
196,4
217,32
229,23
233,40
229,64
233,88
245,59
234,100
245,99
183,93
165,93
198,69
209,86
150,106
143,114
116,134
98,121
156,76
17,118
81,148
99,164
5,21
34,19
76,224
160,192
219,174
223,179
128,249
128,59
3,52
