x,y
186,87
47,87
67,179
185,57
48,147
72,142
69,34
69,115
184,240
188,144
186,28
48,110
69,55
48,122
46,235
49,3
47,182
69,11
184,118
53,204
184,182
188,207
31,245
38,167
76,246
75,225
123,241
169,185
50,22
76,82
121,139
130,149
157,134
206,58
204,40
221,121
248,121
245,151
213,194
124,39
133,16
122,16
38,227
32,4
43,61
41,78
52,84
38,119
30,127
1,133
38,196
77,209
102,250
116,253
101,224
111,222
129,230
123,220
125,212
132,204
139,214
128,157
124,177
138,167
141,186
130,120
130,107
130,139
252,46
109,140
208,132
251,94
242,93
220,32
221,20
131,69
219,93
123,253
131,131
112,12
