x,y
226,185
109,158
118,4
31,102
121,207
143,214
8,96
143,57
182,181
143,36
207,158
157,174
65,141
147,81
119,244
121,44
51,111
121,117
241,187
120,94
59,111
118,68
151,144
78,120
121,175
230,163
123,23
0,122
200,185
85,149
46,136
144,237
145,181
39,9
47,26
54,41
42,96
28,133
164,242
62,200
69,200
75,200
83,200
62,192
64,168
63,186
223,212
223,200
225,236
174,250
155,247
188,217
48,246
37,248
70,239
64,243
194,59
170,63
156,62
202,42
202,14
191,12
103,24
223,79
0,54
8,54
16,55
0,79
242,115
209,96
147,102
207,133
208,122
209,112
110,127
151,12
