x,y
232,8
244,28
159,174
131,169
60,30
66,89
175,236
145,160
111,150
51,66
74,55
39,46
130,137
98,130
200,244
47,11
186,224
141,193
89,75
117,118
31,31
160,213
78,105
9,4
174,203
99,95
135,20
136,47
205,114
218,113
244,176
173,112
17,202
37,158
58,167
44,221
150,231
87,122
156,6
9,178
161,22
87,22
17,133
30,154
24,146
68,178
60,181
75,219
64,226
49,207
38,196
35,185
32,179
22,167
3,206
175,33
167,39
107,16
125,29
117,40
103,53
124,55
165,66
172,69
234,83
243,80
214,8
216,100
208,131
216,134
227,149
215,161
255,165
252,195
227,195
223,200
223,236
241,237
84,204
108,237
