x,y
4,73
65,157
184,17
145,229
253,120
157,255
109,222
84,146
95,159
198,38
210,60
249,66
29,56
51,140
118,243
12,41
227,72
116,187
229,43
41,79
35,114
220,23
127,207
238,96
92,201
22,95
61,105
206,4
93,35
45,14
54,218
88,212
70,186
88,174
218,170
246,197
143,148
156,139
156,117
134,29
150,44
195,105
170,121
84,251
248,249
2,158
141,75
183,113
169,241
167,238
163,232
250,236
251,168
247,173
235,199
160,103
162,86
157,81
148,87
162,14
94,61
51,82
42,243
35,237
34,235
30,228
24,220
23,218
17,206
60,178
149,20
42,22
86,64
