x,y
147,78
156,88
105,65
91,96
216,236
219,219
222,157
221,124
246,211
245,120
247,113
253,74
243,62
254,60
59,247
69,215
8,200
24,213
42,211
71,197
67,175
4,167
30,162
11,133
32,122
49,111
61,118
69,129
70,154
42,11
54,61
4,23
41,80
73,64
65,107
202,38
253,28
241,23
215,11
202,10
208,12
177,14
181,10
169,10
210,37
215,41
76,88
106,99
61,75
75,105
48,121
14,104
12,100
12,96
69,117
70,148
69,143
71,139
2,162
14,162
13,173
18,131
10,115
76,44
71,25
60,11
246,147
140,65
249,22
247,19
237,20
219,145
232,179
231,241
80,234
