x,y
132,77
174,78
229,255
231,81
204,90
216,74
199,226
178,219
165,238
163,211
136,211
163,134
189,118
174,89
155,84
126,122
102,115
111,40
214,127
181,143
193,148
222,184
113,246
158,184
145,188
244,236
255,215
181,189
176,185
214,192
255,198
142,135
245,90
117,102
200,91
198,99
185,77
224,102
240,110
168,77
233,121
145,246
124,224
38,167
8,185
4,155
27,164
49,139
10,148
8,118
21,123
28,126
36,132
42,69
31,61
45,59
16,62
47,40
76,114
56,125
66,74
73,60
57,28
103,41
113,59
108,66
53,238
68,223
54,199
90,236
81,250
28,247
42,101
82,24
52,10
162,19
165,33
185,46
193,40
208,3
205,55
200,65
232,69
238,58
132,89
174,4
147,0
203,14
219,29
243,43
252,28
232,7
96,91
95,31
72,32
26,102
66,139
