x,y
9,18
27,12
23,21
16,28
10,36
18,48
21,42
23,39
33,46
30,29
40,22
62,22
56,45
61,68
75,54
109,36
74,45
119,7
28,82
14,82
20,94
2,77
2,68
3,86
5,94
9,106
23,112
11,117
16,130
47,128
44,105
62,108
86,128
84,158
66,174
37,156
49,167
39,169
18,166
7,174
16,186
17,205
6,211
20,219
8,224
7,237
14,244
31,215
35,205
47,205
71,195
76,213
60,228
72,226
39,235
51,242
65,241
70,253
32,226
83,241
96,240
112,249
102,106
149,223
165,223
191,230
176,249
182,247
148,254
183,252
195,252
105,4
177,5
177,10
169,13
206,6
223,4
156,38
161,47
152,69
172,70
161,73
203,81
208,96
208,104
195,103
184,101
226,56
234,51
250,47
218,71
218,91
218,101
251,5
179,62
220,49
205,130
224,136
226,128
233,131
243,147
240,138
252,163
254,132
251,139
247,133
241,129
244,136
245,180
255,181
201,143
152,133
182,190
195,160
187,163
182,163
229,179
223,180
218,140
217,158
241,227
247,228
253,227
226,245
190,198
117,203
