x,y
191,15
17,244
22,217
12,136
31,94
16,223
18,194
23,51
37,134
33,199
20,173
178,19
87,80
23,22
45,8
65,6
82,15
105,18
90,10
119,42
114,57
93,58
74,59
68,60
42,58
27,59
62,71
149,13
79,130
64,127
71,141
93,138
110,127
131,118
123,108
135,99
88,105
104,70
127,146
121,166
81,152
69,149
47,145
24,158
51,161
183,35
162,36
158,46
113,92
124,86
175,54
158,53
159,63
159,78
174,89
180,76
172,66
192,85
179,95
204,77
218,66
221,84
200,40
225,29
247,19
227,57
248,63
250,32
215,20
232,70
188,69
235,143
246,151
249,128
250,118
44,185
77,170
99,167
176,182
165,196
163,204
163,219
221,173
236,215
237,200
254,175
254,220
250,230
245,248
236,249
212,254
205,239
190,225
168,238
98,250
45,207
55,197
109,220
89,191
10,185
18,231
115,239
169,250
