x,y
99,193
41,189
175,191
140,196
31,193
19,191
206,196
75,192
144,187
52,195
89,196
160,190
154,196
56,188
198,187
1,196
96,82
133,88
184,99
208,101
197,87
220,132
231,118
246,153
237,111
220,98
235,87
229,76
98,157
118,155
114,157
101,156
112,95
112,87
112,79
139,100
175,146
217,153
221,146
210,150
111,191
212,189
235,249
236,242
245,189
15,233
5,145
11,155
56,156
50,117
38,151
40,109
178,47
112,72
69,50
83,50
117,39
55,30
60,25
64,18
119,18
96,3
168,24
165,46
178,31
166,7
219,18
174,72
149,62
187,70
222,56
220,70
239,33
229,41
233,30
250,34
244,74
249,69
251,66
249,101
53,3
