x,y
232,145
255,158
228,160
212,159
223,185
252,219
232,221
209,223
191,112
207,89
247,90
175,88
146,90
133,101
191,181
127,199
121,121
94,119
102,93
186,247
170,209
126,250
145,254
138,245
14,249
35,245
75,232
221,111
187,100
37,51
50,52
59,52
65,54
80,46
86,22
55,5
84,8
90,7
98,6
16,5
26,5
36,5
184,12
131,21
183,43
198,54
204,25
221,9
230,12
235,21
227,17
219,18
223,53
227,57
231,52
28,100
21,129
50,116
45,164
23,182
24,162
22,208
45,199
53,186
116,199
104,198
128,188
129,174
117,177
231,116
228,93
131,58
127,52
132,50
128,40
69,36
70,26
234,37
166,50
