x,y
121,174
145,179
171,184
183,184
170,199
171,211
180,200
185,207
178,221
178,233
177,246
180,114
173,147
161,150
212,137
122,148
35,244
32,189
33,162
134,246
198,185
208,183
237,155
242,166
246,183
86,15
86,10
85,3
8,227
33,222
60,216
59,211
92,209
89,217
112,41
232,8
212,45
203,44
238,69
238,77
238,86
247,95
217,22
144,57
143,80
142,118
145,106
236,140
169,105
173,102
177,96
211,83
186,51
156,33
160,34
197,198
216,196
199,218
200,239
232,223
231,214
189,82
179,87
174,82
31,102
36,98
2,148
1,154
2,135
