x,y
201,178
140,52
110,27
113,50
168,53
183,241
66,159
48,244
39,118
94,60
194,52
204,26
208,246
60,99
13,22
18,34
1,66
61,13
85,22
76,23
73,28
99,21
156,23
137,24
175,25
191,18
213,15
253,27
76,63
63,73
104,60
75,168
34,136
24,104
106,182
186,177
174,157
221,157
223,179
20,191
21,183
32,184
56,244
63,234
89,244
77,252
112,248
123,247
44,252
133,163
127,187
146,195
160,201
176,199
172,208
119,58
96,68
223,237
17,220
183,107
133,131
78,155
111,172
126,173
118,213
239,137
207,124
192,164
113,105
162,119
158,119
154,120
150,120
145,119
18,5
18,122
