x,y
32,67
61,65
11,16
45,15
67,20
84,109
84,120
38,120
35,133
14,138
15,148
16,178
13,121
13,103
39,153
40,182
36,196
90,187
81,192
77,176
108,86
98,62
113,38
105,17
83,41
131,15
131,39
155,8
158,24
157,33
163,39
203,5
216,6
228,4
242,5
252,5
191,88
175,81
151,80
135,83
134,99
204,107
135,120
137,188
133,176
136,210
134,238
81,247
179,248
191,236
177,232
178,218
177,204
178,185
192,187
205,179
219,181
216,216
225,235
212,161
232,161
249,180
246,205
244,196
15,243
15,233
41,246
111,136
91,214
182,61
