x,y
182,199
38,252
58,241
58,241
58,241
2,160
58,241
58,241
38,241
197,247
81,141
58,241
58,241
58,241
48,141
58,241
197,247
140,245
24,24
93,22
73,17
48,16
197,62
251,29
249,56
172,6
185,5
193,14
182,22
184,36
184,50
167,37
164,65
118,25
117,41
118,53
117,2
115,84
116,96
117,109
128,85
129,97
128,109
153,85
152,98
154,109
165,85
165,97
164,110
93,141
2,138
18,138
203,97
215,98
197,144
210,144
225,144
237,145
250,145
52,163
59,164
68,163
104,163
113,161
147,165
160,162
178,164
215,165
224,164
232,166
235,164
242,166
128,162
162,242
203,242
191,244
217,232
209,251
48,233
145,201
83,8
242,240
