x,y
66,149
66,231
67,172
66,107
66,127
32,64
32,82
74,60
46,45
66,189
4,73
4,96
46,37
53,31
38,26
33,27
45,26
45,19
57,19
57,27
64,25
67,21
53,7
63,3
76,5
89,8
100,2
93,2
87,1
83,2
80,1
131,5
143,3
77,64
83,64
90,65
100,46
37,104
77,91
80,100
93,94
108,92
132,92
144,93
128,100
123,97
116,97
112,97
111,86
102,107
79,111
79,126
79,151
80,166
90,175
97,175
109,178
108,155
104,169
142,175
149,174
167,151
180,148
180,139
39,139
37,151
14,177
23,175
34,173
25,99
20,99
103,221
182,251
232,49
246,74
213,49
231,100
236,125
214,124
218,150
219,161
217,227
220,239
236,244
227,214
182,85
158,95
166,96
171,96
180,103
7,108
