x,y
146,154
116,155
204,179
203,197
206,211
192,176
178,176
188,244
207,248
195,234
161,201
160,219
114,201
105,190
110,186
121,178
113,213
161,184
181,183
182,189
185,198
162,232
163,239
170,238
171,246
153,239
139,154
147,145
169,120
155,109
135,114
147,83
122,112
207,77
126,81
101,79
212,134
161,33
146,22
144,36
168,52
176,43
174,37
187,14
209,25
246,37
252,46
196,58
191,63
214,62
168,143
170,134
88,194
78,249
60,245
42,245
58,228
59,220
60,212
44,213
17,238
7,226
5,191
30,172
49,182
60,177
60,188
38,139
43,120
22,106
14,64
31,82
57,53
61,144
75,153
94,155
124,14
125,28
121,38
115,47
110,58
92,71
75,64
32,29
92,111
112,98
70,71
75,62
5,168
