x,y
197,253
178,251
196,230
124,182
18,74
110,169
113,140
144,202
238,41
244,252
56,112
75,132
5,24
227,2
2,56
3,4
124,149
39,92
90,152
163,223
181,210
159,189
59,75
59,55
129,15
82,76
110,58
138,60
70,101
109,82
89,96
89,117
29,110
151,78
163,92
194,18
208,94
211,88
212,185
243,194
241,242
96,241
87,215
162,114
214,22
208,29
231,26
221,35
190,81
176,69
40,234
48,227
60,228
244,25
249,62
66,87
59,98
71,75
54,64
12,2
13,10
19,17
24,23
22,29
8,93
2,79
64,50
185,74
255,74
248,86
252,87
213,14
190,89
182,98
178,104
176,106
235,147
242,152
245,159
238,166
245,127
241,130
234,136
254,116
225,237
208,234
207,210
183,192
68,239
89,236
66,252
27,186
36,198
16,189
25,195
30,200
