x,y
38,238
67,246
149,243
130,217
123,196
108,204
100,199
93,208
64,207
46,205
22,208
8,210
232,224
231,206
252,196
234,195
227,177
184,199
166,200
154,175
180,167
95,175
107,174
81,171
79,149
79,130
117,135
135,137
111,144
94,131
62,145
174,133
188,129
186,137
217,177
226,149
227,128
252,146
251,137
250,84
225,96
234,91
217,93
208,99
180,79
193,97
157,99
98,102
72,92
64,77
64,106
53,106
38,112
8,110
26,107
32,45
4,60
118,17
128,38
142,38
137,48
140,58
110,34
108,59
110,43
101,31
92,31
73,26
89,20
86,10
217,67
217,74
216,52
222,51
234,47
252,43
251,55
247,55
32,4
186,44
180,26
156,10
171,7
196,6
216,15
225,36
248,18
104,143
94,143
45,146
