x,y
236,117
234,74
205,245
252,118
246,104
252,93
247,79
205,90
207,122
199,133
182,116
172,247
160,246
151,246
133,246
122,247
105,225
109,135
106,143
243,188
232,207
237,226
237,240
247,240
35,23
28,1
76,5
107,13
99,30
104,40
103,45
112,31
120,44
147,49
190,29
207,23
199,26
203,9
231,3
243,6
243,15
248,28
238,15
251,21
238,51
234,57
249,51
239,62
203,52
235,158
237,218
237,199
254,244
100,239
93,236
75,225
52,233
40,242
31,241
51,228
62,216
3,100
3,25
2,181
30,86
36,136
89,127
89,98
80,80
82,54
47,71
46,39
104,73
154,112
108,212
95,208
85,208
77,207
66,201
101,188
59,208
44,208
100,142
117,174
140,72
149,69
116,102
119,106
122,109
129,111
115,68
117,63
122,66
150,59
140,53
171,51
35,68
201,213
144,115
179,53
252,199
239,236
242,242
147,200
147,224
145,229
104,129
40,148
64,141
4,47
34,3
63,11
50,2
65,71
74,60
76,93
51,129
69,128
80,113
96,104
96,92
105,61
94,46
106,82
106,96
117,2
157,50
197,61
191,69
198,120
196,105
162,61
