x,y
241,11
227,36
1,13
61,251
88,66
0,73
78,67
193,250
193,13
53,66
228,17
7,25
207,37
202,69
138,178
250,252
104,18
8,56
91,251
164,69
70,67
229,0
140,29
140,38
105,139
138,127
245,71
138,151
32,53
150,253
77,252
38,252
170,252
202,14
139,187
188,69
60,66
194,38
138,160
139,204
6,104
144,11
8,126
7,144
7,156
8,164
7,175
8,185
17,196
30,163
31,142
33,130
31,107
55,103
82,100
101,115
102,159
99,199
45,203
33,214
4,244
110,241
109,216
108,181
216,250
181,245
202,246
161,247
230,199
183,201
177,197
155,198
164,100
205,97
217,93
225,135
146,123
150,127
168,127
183,128
199,126
214,127
101,26
101,50
241,224
181,229
38,3
34,32
242,27
44,132
7,232
11,207
