x,y
122,145
147,146
240,167
208,171
163,77
213,6
19,195
98,171
231,28
170,172
76,197
126,122
155,103
199,41
132,13
230,204
182,54
145,35
100,196
234,0
138,68
4,69
9,90
4,133
37,102
64,160
5,219
4,206
28,203
57,204
19,170
157,161
111,163
3,158
113,124
119,107
2,239
142,192
159,193
171,193
245,212
183,162
145,243
212,110
215,124
215,135
198,116
199,106
226,101
242,90
159,118
127,150
159,127
162,105
167,93
3,9
16,10
24,11
33,12
43,12
46,92
141,3
49,60
204,66
228,77
236,98
244,97
251,96
230,91
70,95
68,110
175,106
184,119
42,66
69,60
225,37
239,40
234,40
214,73
61,115
63,127
62,141
59,69
60,86
101,14
64,8
75,7
169,247
