x,y
102,125
102,175
102,104
102,155
142,211
89,231
93,248
154,254
156,247
171,253
170,238
221,106
221,98
175,113
181,113
186,113
187,107
185,100
160,75
173,74
75,89
90,91
95,103
95,113
93,140
78,134
95,127
92,165
75,189
92,187
10,231
7,244
22,188
50,186
23,130
22,137
20,144
21,157
29,157
36,160
47,160
53,156
52,150
53,143
61,142
5,130
11,141
5,140
66,134
46,134
41,137
49,139
54,135
58,84
24,94
40,57
21,38
27,31
45,42
60,58
71,56
83,56
90,47
93,33
49,12
15,11
189,18
192,32
149,17
143,24
143,39
142,50
